episode_id,from_grade,to_grade,ramp_len,off_spec,stabilization_step,time_to_stabilize_s
0,GSM_100,GSM_80,115,True,360,1200
1,GSM_80,GSM_100,124,False,244,620
2,GSM_60,GSM_80,123,False,243,615
3,GSM_80,GSM_60,61,True,360,1200
4,GSM_100,GSM_80,137,True,360,1200
5,GSM_80,GSM_60,122,True,360,1200
6,GSM_100,GSM_80,114,True,360,1200
7,GSM_80,GSM_100,89,False,209,445
8,GSM_60,GSM_100,100,True,226,530
9,GSM_100,GSM_80,83,True,360,1200
10,GSM_100,GSM_80,132,True,360,1200
11,GSM_100,GSM_80,66,True,360,1200
12,GSM_80,GSM_60,97,True,360,1200
13,GSM_80,GSM_100,75,False,195,375
14,GSM_80,GSM_60,130,True,360,1200
15,GSM_80,GSM_100,88,False,208,440
16,GSM_100,GSM_60,137,True,360,1200
17,GSM_60,GSM_80,114,False,234,570
18,GSM_80,GSM_100,89,False,209,445
19,GSM_100,GSM_60,80,True,360,1200
20,GSM_80,GSM_60,110,True,360,1200
21,GSM_60,GSM_100,123,True,248,640
22,GSM_60,GSM_80,81,False,201,405
23,GSM_80,GSM_60,134,True,360,1200
24,GSM_60,GSM_80,110,False,230,550
25,GSM_80,GSM_100,86,False,206,430
26,GSM_100,GSM_80,63,True,360,1200
27,GSM_80,GSM_100,125,False,245,625
28,GSM_100,GSM_80,95,True,360,1200
29,GSM_100,GSM_60,91,True,360,1200
30,GSM_100,GSM_80,136,True,360,1200
31,GSM_100,GSM_80,82,True,360,1200
32,GSM_100,GSM_80,91,True,360,1200
33,GSM_60,GSM_80,128,False,248,640
34,GSM_100,GSM_80,87,True,360,1200
35,GSM_80,GSM_60,77,True,360,1200
36,GSM_100,GSM_80,116,True,360,1200
37,GSM_60,GSM_100,76,True,205,425
38,GSM_80,GSM_60,120,True,360,1200
39,GSM_100,GSM_80,126,True,360,1200
40,GSM_80,GSM_60,73,True,360,1200
41,GSM_80,GSM_100,111,False,231,555
42,GSM_100,GSM_80,70,True,360,1200
43,GSM_60,GSM_80,92,False,212,460
44,GSM_80,GSM_100,83,False,203,415
45,GSM_100,GSM_60,138,True,360,1200
46,GSM_80,GSM_100,63,False,183,315
47,GSM_80,GSM_100,85,False,205,425
48,GSM_100,GSM_60,84,True,360,1200
49,GSM_80,GSM_100,92,False,212,460
50,GSM_100,GSM_80,74,True,360,1200
51,GSM_80,GSM_60,75,True,360,1200
52,GSM_80,GSM_100,123,False,243,615
53,GSM_60,GSM_100,136,True,261,705
54,GSM_100,GSM_60,75,True,360,1200
55,GSM_80,GSM_60,77,True,360,1200
56,GSM_80,GSM_100,82,False,202,410
57,GSM_100,GSM_80,93,True,360,1200
58,GSM_80,GSM_100,104,False,224,520
59,GSM_80,GSM_100,104,False,224,520
60,GSM_80,GSM_100,64,True,185,325
61,GSM_100,GSM_80,82,True,360,1200
62,GSM_60,GSM_80,80,False,200,400
63,GSM_100,GSM_80,114,True,360,1200
64,GSM_100,GSM_80,66,True,360,1200
65,GSM_100,GSM_80,117,True,360,1200
66,GSM_100,GSM_60,127,True,360,1200
67,GSM_80,GSM_100,66,False,186,330
68,GSM_100,GSM_60,87,True,360,1200
69,GSM_100,GSM_60,71,True,360,1200
70,GSM_60,GSM_80,132,False,252,660
71,GSM_60,GSM_100,124,True,248,640
72,GSM_60,GSM_80,77,True,199,395
73,GSM_80,GSM_60,136,True,360,1200
74,GSM_80,GSM_60,98,True,360,1200
75,GSM_80,GSM_100,94,False,214,470
76,GSM_100,GSM_80,69,True,360,1200
77,GSM_80,GSM_60,78,True,360,1200
78,GSM_60,GSM_80,113,False,233,565
79,GSM_80,GSM_100,112,False,232,560
80,GSM_60,GSM_80,129,False,249,645
81,GSM_60,GSM_80,75,True,196,380
82,GSM_60,GSM_80,116,False,236,580
83,GSM_100,GSM_60,109,True,360,1200
84,GSM_80,GSM_100,95,False,215,475
85,GSM_80,GSM_60,107,True,360,1200
86,GSM_80,GSM_100,101,False,221,505
87,GSM_100,GSM_60,96,True,360,1200
88,GSM_60,GSM_100,126,True,251,655
89,GSM_80,GSM_60,89,True,360,1200
90,GSM_60,GSM_80,72,True,196,380
91,GSM_80,GSM_100,132,False,252,660
92,GSM_100,GSM_80,137,True,360,1200
93,GSM_80,GSM_100,91,False,211,455
94,GSM_100,GSM_60,102,True,360,1200
95,GSM_60,GSM_80,97,False,217,485
96,GSM_60,GSM_80,66,True,189,345
97,GSM_60,GSM_80,112,False,232,560
98,GSM_60,GSM_80,67,True,191,355
99,GSM_60,GSM_80,62,True,188,340
100,GSM_60,GSM_100,63,True,194,370
101,GSM_60,GSM_80,60,True,184,320
102,GSM_100,GSM_60,100,True,360,1200
103,GSM_60,GSM_100,96,True,224,520
104,GSM_80,GSM_60,77,True,360,1200
105,GSM_60,GSM_100,92,True,219,495
106,GSM_60,GSM_80,113,False,233,565
107,GSM_80,GSM_100,87,False,207,435
108,GSM_80,GSM_100,84,False,204,420
109,GSM_100,GSM_60,116,True,360,1200
110,GSM_60,GSM_100,104,True,230,550
111,GSM_100,GSM_80,78,True,360,1200
112,GSM_60,GSM_80,84,False,204,420
113,GSM_60,GSM_80,63,True,187,335
114,GSM_100,GSM_60,107,True,360,1200
115,GSM_60,GSM_100,83,True,211,455
116,GSM_60,GSM_80,82,False,202,410
117,GSM_100,GSM_80,122,True,360,1200
118,GSM_60,GSM_80,108,False,228,540
119,GSM_60,GSM_100,137,True,261,705
120,GSM_80,GSM_60,77,True,360,1200
121,GSM_80,GSM_60,139,True,360,1200
122,GSM_80,GSM_60,128,True,360,1200
123,GSM_100,GSM_60,101,True,360,1200
124,GSM_60,GSM_100,123,True,247,635
125,GSM_60,GSM_80,122,False,242,610
126,GSM_60,GSM_100,92,True,219,495
127,GSM_100,GSM_80,124,True,360,1200
128,GSM_80,GSM_60,122,True,360,1200
129,GSM_80,GSM_100,91,False,211,455
130,GSM_100,GSM_80,135,True,360,1200
131,GSM_100,GSM_60,136,True,360,1200
132,GSM_80,GSM_100,92,False,212,460
133,GSM_100,GSM_60,91,True,360,1200
134,GSM_100,GSM_80,69,True,360,1200
135,GSM_100,GSM_80,123,True,360,1200
136,GSM_60,GSM_80,98,False,218,490
137,GSM_60,GSM_80,96,False,216,480
138,GSM_60,GSM_100,127,True,252,660
139,GSM_80,GSM_60,100,True,360,1200
140,GSM_100,GSM_80,127,True,360,1200
141,GSM_100,GSM_80,93,True,360,1200
142,GSM_100,GSM_80,74,True,360,1200
143,GSM_80,GSM_60,99,True,360,1200
144,GSM_80,GSM_60,68,True,360,1200
145,GSM_60,GSM_100,128,True,251,655
146,GSM_100,GSM_80,118,True,360,1200
147,GSM_80,GSM_100,81,False,201,405
148,GSM_80,GSM_100,116,False,236,580
149,GSM_60,GSM_100,69,True,199,395
150,GSM_80,GSM_60,94,True,360,1200
151,GSM_60,GSM_100,113,True,240,600
152,GSM_80,GSM_60,116,True,360,1200
153,GSM_100,GSM_60,86,True,360,1200
154,GSM_100,GSM_60,104,True,360,1200
155,GSM_100,GSM_80,106,True,360,1200
156,GSM_80,GSM_60,78,True,360,1200
157,GSM_100,GSM_80,91,True,360,1200
158,GSM_60,GSM_80,134,False,254,670
159,GSM_100,GSM_80,110,True,360,1200
160,GSM_60,GSM_100,114,True,237,585
161,GSM_100,GSM_60,106,True,360,1200
162,GSM_100,GSM_80,79,True,360,1200
163,GSM_100,GSM_80,105,True,360,1200
164,GSM_80,GSM_60,107,True,360,1200
165,GSM_100,GSM_60,94,True,360,1200
166,GSM_80,GSM_100,86,False,206,430
167,GSM_80,GSM_60,61,True,360,1200
168,GSM_100,GSM_60,60,True,360,1200
169,GSM_100,GSM_60,68,True,360,1200
170,GSM_100,GSM_60,83,True,360,1200
171,GSM_60,GSM_80,65,True,188,340
172,GSM_100,GSM_80,65,True,360,1200
173,GSM_80,GSM_60,120,True,360,1200
174,GSM_80,GSM_60,87,True,360,1200
175,GSM_100,GSM_80,121,True,360,1200
176,GSM_60,GSM_100,71,True,203,415
177,GSM_80,GSM_60,106,True,360,1200
178,GSM_80,GSM_100,84,False,204,420
179,GSM_80,GSM_100,86,False,206,430
180,GSM_80,GSM_60,70,True,360,1200
181,GSM_60,GSM_80,84,False,204,420
182,GSM_60,GSM_100,63,True,194,370
183,GSM_100,GSM_60,106,True,360,1200
184,GSM_60,GSM_80,124,False,244,620
185,GSM_80,GSM_100,75,False,195,375
186,GSM_60,GSM_80,65,True,187,335
187,GSM_100,GSM_60,62,True,360,1200
188,GSM_100,GSM_80,113,True,360,1200
189,GSM_80,GSM_100,126,False,246,630
190,GSM_100,GSM_80,62,True,360,1200
191,GSM_100,GSM_80,74,True,360,1200
